,student,position,name
186,Diogo Vieira da Silva Pellegrina,comitee, Daniel Guariz Pinheiro
187,Fabricio Edgar de Moraes,president, Carlos Alberto  Labate
188,Fabricio Edgar de Moraes,comitee, Helaine Carrer
189,Fabricio Edgar de Moraes,comitee, Paulo Cavalcanti Gomes Ferreira
190,Fabricio Edgar de Moraes,comitee, João Carlos Setubal
191,Fabricio Edgar de Moraes,comitee, Guilherme Targino Valente
192,Fabio Fernandes da Rocha Vicente,na,Integração de dados na inferência de redes de genes: avaliação de informações biológicas e características topológicas
193,Marcos Abraão de Souza Fonseca,president, Ricardo Zorzetto Nicoliello  Vencio
194,Marcos Abraão de Souza Fonseca,comitee, Angela Kaysel Cruz
195,Marcos Abraão de Souza Fonseca,comitee, Georgios Joannis Pappas Junior
196,Marcos Abraão de Souza Fonseca,comitee, Aline Maria da Silva
197,Marcos Abraão de Souza Fonseca,comitee, Maria Emília Machado Telles Walter
198,Felipe Augusto Nunes Ferraz,na,Caracterização de sítios conformacionais de fosforilação em proteínas
199,Abner Cardoso Rodrigues Neto,na,Caracterização e modelagem da atividade eletrofisiológica em pacientes com epilepsia
200,Yuri Ferretti,president, Joaquim Cezar  Felipe
201,Yuri Ferretti,comitee, Ricardo Rodrigues Ciferri
202,Yuri Ferretti,comitee, Geraldo Aleixo da Silva Passos Junior
203,Gabriel Francisco Zaniboni,president, Eduardo Moraes Rego  Reis
204,Gabriel Francisco Zaniboni,comitee, Helder Takashi Imoto Nakaya
205,Gabriel Francisco Zaniboni,comitee, Marcelo da Silva Reis
206,Lariza Laura de Oliveira,president, Renato  Tinós
207,Lariza Laura de Oliveira,comitee, Marcelo Mendes Brandão
208,Lariza Laura de Oliveira,comitee, Odemir Martinez Bruno
209,Lariza Laura de Oliveira,comitee, André Carlos Ponce de Leon Ferreira de Carvalho
210,Lariza Laura de Oliveira,comitee, Sergio Russo Matioli
211,Rodrigo Vargas Honorato,president, Paulo Sérgio Lopes de  Oliveira
212,Rodrigo Vargas Honorato,comitee, André Luís Berteli Ambrósio
213,Rodrigo Vargas Honorato,comitee, Laurent Emmanuel Dardenne
214,Rodrigo Vargas Honorato,comitee, Alexandre Cláudio Botazzo Delbem
215,Rodrigo Vargas Honorato,comitee, Renato Tinós
216,Gilson Vieira,president, Luiz Antonio  Baccala
