,0,1,2,3,4,5
Artur Trancoso Lopo de Queiróz,,"Matioli, Sergio Russo ","Araújo, Luciano Vieira de","Fernandes, Flora Maria de Campos","Lauretto, Marcelo de Souza","Romano, Camila Malta
"
Carlos Stein Naves de Brito,,"Sameshima, Koichi ","Amaro Júnior, Edson","Vencio, Ricardo Zorzetto Nicoliello
",,
Marcio Augusto Afonso de Almeida,,"Oliveira, Paulo Sérgio Lopes de ","Dias Neto, Emmanuel","Guimarães, Pedro Edson Moreira","Neves, Eduardo Jordao","Soler, Julia Maria Pavan
"
Mauricio Egidio Cantão,,"Ferreira, João Eduardo ","Carrer, Helaine","Ciferri, Ricardo Rodrigues","Ruiz, Duncan Dubugras Alcoba","Vasconcelos, Ana Tereza Ribeiro de
"
Ana Carolina Quirino Simões,"Planejamento, gerenciamento e análise de dados de microarranjos de DNA para identificação de biomarcadores de diagnóstico e prognóstico de cânceres humanos",,,,,
Daniel Yasumasa Takahashi,Medidas de fluxo de informação com aplicação em neurociência,,,,,
Tiago José Paschoal Sobreira,Análise da via de regulação gênica por ácido retinóico: uma abordagem por bioinformática e biologia estrutural,,,,,
Jorge Estefano Santana de Souza,,"Souza, Sandro José de ","Carraro, Dirce Maria","Meyer, Diogo","Silva, Aline Maria da","Lima, Ariane Machado
"
Rafael Carvalho de Oliveira,Morfometria computacional de órgãos de frangos de corte submetidos a duas dietas distintas: suplementação mineral quelada versus suplementação mineral tradicional,,,,,
Leonardo Varuzza,,"Pereira, Carlos Alberto de Bragança ","Bolfarine, Heleno","Diaz, Zanoni","Oliveira, Paulo Sérgio Lopes de","Silva, Eloísa Helena Tajara da
"
Ricardo Cesar Corrêa,,"Araújo, Luciano Vieira de ","Marques, Fátima de Lourdes dos Santos Nunes","Oikawa, Márcio Katsumi","Pisa, Ivan Torres
",
Marcelo Ris,,"Barrera, Junior ","Cesar Junior, Roberto Marcondes","Chammas, Roger","Falcão, Alexandre Xavier","Folgueira, Maria Aparecida Azevedo Koike
"
Thiago Motta Venancio,,"Almeida, Sergio Verjovski de ","Durham, Alan Mitchell","Franco, Glória Regina","Gruber, Arthur","Pappas Junior, Georgios Joannis
"
Bruno Augusto Nassif Travençolo,,"Costa, Luciano da Fontoura ","Marana, Aparecido Nilceu","Nardi, Nance Beyer","Travieso, Gonzalo","Winter, Lucile Maria Floeter
"
Elza Helena Andrade Barbosa Durham,Bioinformática estrutural de proteínas modificadas por eventos de splicing alternativo,,,,,
André Pierro de Camargo,,"Lauretto, Marcelo de Souza ","Salinas, Delhi Teresa Paiva","Stern, Julio Michael
",,
Nestor Walter Trepode,Modelagem do controle gênico do ciclo celular por redes genéticas probabilísticas.,,,,,
Fabio Passetti,Implicações funcionais de eventos de splicing alternativo no proteoma humano,,,,,
Gustavo Henrique Esteves,,"Neves, Eduardo Jordao ","Almeida, Sergio Verjovski de","Cesar Junior, Roberto Marcondes","Garcia, Nancy Lopes","Nunes, Luiz Roberto
"
Bruno Monte de Castro,,"Leonardi, Florencia Graciela ","García, Jesús Enrique","Iambartsev, Anatoli
",,
Cesar Armando Beltran Castañon,,"Gruber, Arthur ","Bruno, Odemir Martinez","Ferreira, Marcelo Urbano","Hirata, Nina Sumiko Tomita","Lotufo, Roberto de Alencar
"
Bruno Sanchez de Araujo,,"Machado-Lima, Ariane ","Martins Junior, David Corrêa","Paraboni, Ivandre","Salvini, Rogerio Lopes
",
Fábio Nakano,,"Pereira, Carlos Alberto de Braganca ","Achcar, Jorge Alberto","Cozman, Fabio Gagliardi","Klaczko, Louis Bernard","Otto, Paulo Alberto
"
